date,VV,VH,VH_VV_Ratio,orbit
2024-11-04,-11.668348072223312,-18.07431476436189,-6.405966692138574,ASCENDING
2024-11-07,-13.51461857751612,-16.419034204349828,-2.9044156268337042,DESCENDING
2024-11-11,-11.609926156992204,-16.83910862977466,-5.229182472782454,ASCENDING
2024-11-16,-13.107466228246372,-18.46450866184872,-5.3570424336023486,ASCENDING
2024-11-19,-13.643929671502043,-19.10212597052051,-5.458196299018462,DESCENDING
2024-11-23,-12.072169550545436,-16.325148378139335,-4.252978827593898,ASCENDING
2024-11-28,-12.80755366379437,-18.067501037479076,-5.2599473736847004,ASCENDING
2024-12-05,-9.258223479077563,-17.875522606144155,-8.61729912706659,ASCENDING
2024-12-10,-11.17221007830031,-19.098672530734287,-7.926462452433982,ASCENDING
2024-12-17,-7.124674707010256,-18.978314605855633,-11.85363989884538,ASCENDING
2024-12-22,-10.617626671759277,-20.20661746377778,-9.588990792018487,ASCENDING
2024-12-25,-8.134057652038093,-15.516337599179584,-7.382279947141491,DESCENDING
2024-12-29,-9.535100799583152,-19.4374293115325,-9.902328511949344,ASCENDING
2025-01-03,-10.966474448148789,-18.761905516433472,-7.795431068284678,ASCENDING
2025-01-06,-8.918555848240528,-18.013461327584448,-9.094905479343925,DESCENDING
2025-01-10,-9.806190223489239,-20.132296845828094,-10.32610662233886,ASCENDING
2025-01-15,-10.964210802407441,-19.95262354521415,-8.988412742806707,ASCENDING
2025-01-18,-9.388260516765243,-20.001592062986756,-10.6133315462215,DESCENDING
2025-01-22,-5.569275916552328,-16.703305652443525,-11.134029735891199,ASCENDING
2025-01-27,-9.783383233733367,-16.298828764140154,-6.515445530406787,ASCENDING
2025-01-30,-7.389977216317661,-17.713424752743258,-10.3234475364256,DESCENDING
2025-02-03,-9.068656016226932,-18.69310988184153,-9.62445386561459,ASCENDING
2025-02-08,-13.846866611707528,-17.94931423549289,-4.102447623785358,ASCENDING
2025-02-11,-10.758274359395715,-19.31570163284438,-8.557427273448669,DESCENDING
2025-02-15,-10.71348712688428,-19.478909913674936,-8.765422786790655,ASCENDING
2025-02-20,-14.33641127124197,-18.823026182439172,-4.486614911197198,ASCENDING
2025-02-23,-12.297266298910683,-18.162155420681025,-5.8648891217703465,DESCENDING
2025-02-27,-13.074667689442762,-17.81523639305383,-4.740568703611071,ASCENDING
2025-03-04,-14.267300010731404,-18.364517805263436,-4.097217794532024,ASCENDING
2025-03-07,-13.580208711150318,-18.69261738093375,-5.112408669783432,DESCENDING
2025-03-11,-10.701716022629284,-17.40901026071458,-6.707294238085289,ASCENDING
2025-03-16,-12.194294798369258,-18.650817235835955,-6.456522437466693,ASCENDING
2025-03-19,-13.172115137574943,-17.77081610632603,-4.5987009687510945,DESCENDING
2025-03-23,-12.851896891627792,-17.59511040726458,-4.743213515636787,ASCENDING
2025-03-28,-13.650310024675672,-19.320399670670717,-5.670089645995051,ASCENDING
2025-03-31,-13.808155531371872,-20.86249375433988,-7.054338222968008,DESCENDING
2025-04-04,-11.756347500184585,-18.512473991539146,-6.756126491354557,ASCENDING
2025-04-09,-13.786695416958999,-19.30248253143598,-5.515787114476986,ASCENDING
2025-04-12,-8.49849052536535,-17.120243699661163,-8.621753174295812,DESCENDING
2025-04-16,-7.108160980992068,-16.31015110326138,-9.201990122269311,ASCENDING
2025-04-21,-12.655294304617872,-19.14654244328507,-6.491248138667193,ASCENDING
2025-04-24,-11.600723473606525,-19.781373596830495,-8.180650123223975,DESCENDING
2025-04-28,-11.783158814125853,-17.62164897355549,-5.838490159429634,ASCENDING
