date,VV,VH,VH_VV_Ratio,orbit
2025-11-02,-11.691274400205144,-16.486968588969802,-4.795694188764662,DESCENDING
2025-11-06,-13.685315729062289,-15.305324427155004,-1.620008698092716,ASCENDING
2025-11-11,-13.225949620687938,-19.99531085139425,-6.769361230706308,ASCENDING
2025-11-14,-12.739049955597368,-17.4749551388625,-4.7359051832651335,DESCENDING
2025-11-18,-10.743364470208952,-16.13339356539289,-5.390029095183934,ASCENDING
2025-11-23,-9.952491317518186,-15.975133567538549,-6.0226422500203665,ASCENDING
2025-11-26,-10.797429971469937,-15.941825801855474,-5.1443958303855295,DESCENDING
2025-11-30,-8.018431331375204,-14.31067516876127,-6.292243837386051,ASCENDING
2025-12-05,-10.754397984504784,-16.79076160668903,-6.03636362218424,ASCENDING
2025-12-08,-12.598078423969916,-18.940069246831246,-6.341990822861331,DESCENDING
2025-12-12,-12.586885926999331,-20.79744863075486,-8.21056270375553,ASCENDING
2025-12-17,-12.098466818064646,-20.907663744843276,-8.809196926778629,ASCENDING
2025-12-20,-10.956093276445554,-21.137366599434838,-10.181273322989286,DESCENDING
2025-12-24,-12.773451582696634,-22.561744973627242,-9.788293390930603,ASCENDING
2025-12-29,-12.385290473465417,-21.289492208257858,-8.904201734792442,ASCENDING
2026-01-01,-10.743597052842944,-21.97374347372664,-11.230146420883692,DESCENDING
2026-01-05,-7.482590724966934,-17.595098610250925,-10.112507885283998,ASCENDING
2026-01-10,-9.682218677207707,-18.647478438360274,-8.965259761152574,ASCENDING
2026-01-13,-8.781682753647967,-16.65250311873468,-7.870820365086705,DESCENDING
2026-01-17,-9.335225518178847,-18.870452241734043,-9.535226723555208,ASCENDING
2026-01-22,-12.76275193553114,-19.615682892503724,-6.852930956972579,ASCENDING
2026-01-25,-12.676072058191505,-18.74177307795913,-6.065701019767633,DESCENDING
2026-01-29,-12.32644449624338,-21.173957820159615,-8.847513323916237,ASCENDING
2026-02-03,-12.55696803994338,-18.95056008638032,-6.393592046436938,ASCENDING
2026-02-06,-13.294351337079023,-19.218142257772143,-5.9237909206931265,DESCENDING
2026-02-10,-12.665546026548524,-17.187452227257186,-4.52190620070866,ASCENDING
2026-02-15,-15.765179533816104,-21.436235140566637,-5.6710556067505316,ASCENDING
2026-02-18,-14.016798799499728,-21.42809776767685,-7.411298968177116,DESCENDING
2026-02-22,-16.084845061642014,-19.25988864074272,-3.1750435791007114,ASCENDING
2026-02-27,-14.856675703833808,-20.508834534575374,-5.652158830741579,ASCENDING
2026-03-02,-12.875590878153293,-20.13121475459788,-7.2556238764445915,DESCENDING
2026-03-06,-14.363021509853994,-21.970010741456232,-7.606989231602237,ASCENDING
2026-03-11,-14.61978942212109,-20.898487496080936,-6.278698073959849,ASCENDING
2026-03-14,-12.434062289794761,-19.14645293416301,-6.712390644368247,DESCENDING
2026-03-18,-14.61393139091171,-19.62560901386912,-5.011677622957405,ASCENDING
2026-03-23,-12.110792989465361,-17.645696299995862,-5.534903310530498,ASCENDING
2026-03-26,-13.160926164940923,-18.569695805734504,-5.408769640793586,DESCENDING
2026-03-30,-6.996060427395148,-15.257706212980239,-8.261645785585088,ASCENDING
