date,VV,VH,VH_VV_Ratio,orbit
2024-11-04,-12.577244785522511,-17.692871903945793,-5.115627118423279,ASCENDING
2024-11-07,-10.758032665801085,-14.893786053212246,-4.135753387411166,DESCENDING
2024-11-11,-12.315466234130811,-16.64663632435118,-4.331170090220371,ASCENDING
2024-11-16,-13.282506343679929,-18.693358895597466,-5.410852551917528,ASCENDING
2024-11-19,-12.051797866436495,-19.30406065305119,-7.252262786614698,DESCENDING
2024-11-23,-10.60616969846332,-16.094202715723444,-5.488033017260128,ASCENDING
2024-11-28,-12.50356894397123,-18.84465884816464,-6.341089904193409,ASCENDING
2024-12-05,-8.86121101103168,-17.538111290502833,-8.676900279471148,ASCENDING
2024-12-10,-12.204973194656066,-19.616148987427835,-7.41117579277176,ASCENDING
2024-12-17,-9.951185014539423,-18.013164980329012,-8.061979965789593,ASCENDING
2024-12-22,-12.09700953583824,-20.657195465614212,-8.560185929775965,ASCENDING
2024-12-25,-10.066702761445788,-19.309816913989867,-9.243114152544079,DESCENDING
2024-12-29,-9.867233710326587,-19.134636557032664,-9.26740284670608,ASCENDING
2025-01-03,-11.674773627650765,-20.893186693765823,-9.218413066115053,ASCENDING
2025-01-06,-10.749272212240784,-19.445403648934786,-8.696131436693998,DESCENDING
2025-01-10,-11.130761883123347,-19.291846035657382,-8.161084152534038,ASCENDING
2025-01-15,-12.70837989449017,-20.190859964300856,-7.482480069810689,ASCENDING
2025-01-18,-11.268323868795829,-18.98568621040353,-7.717362341607707,DESCENDING
2025-01-22,-10.710845366384001,-19.71551292876945,-9.00466756238545,ASCENDING
2025-01-27,-9.72976803466644,-19.241364575018768,-9.511596540352317,ASCENDING
2025-01-30,-7.515066642772446,-16.830243736529074,-9.315177093756622,DESCENDING
2025-02-03,-8.458707979702476,-16.02676793649203,-7.568059956789558,ASCENDING
2025-02-08,-13.470949825364059,-20.966961214669347,-7.496011389305283,ASCENDING
2025-02-11,-11.085016752019108,-18.76435986699274,-7.679343114973632,DESCENDING
2025-02-15,-13.982903195069667,-18.691122497327044,-4.708219302257379,ASCENDING
2025-02-20,-15.017378415373669,-19.60556760752584,-4.588189192152188,ASCENDING
2025-02-23,-14.96910798304194,-21.25989087536349,-6.290782892321542,DESCENDING
2025-02-27,-14.809636143727793,-20.611666665566123,-5.80203052183834,ASCENDING
2025-03-04,-14.102141183151076,-19.758119187478748,-5.655978004327669,ASCENDING
2025-03-07,-13.480649759418812,-18.9329347472435,-5.452284987824688,DESCENDING
2025-03-11,-14.178644593622872,-20.64817096744344,-6.46952637382056,ASCENDING
2025-03-16,-13.833473089787704,-19.05424804441995,-5.220774954632246,ASCENDING
2025-03-19,-13.783862490189366,-19.437029786834305,-5.653167296644934,DESCENDING
2025-03-23,-13.048113095253825,-21.387784994849703,-8.339671899595878,ASCENDING
2025-03-28,-12.392261921478957,-20.487120789947877,-8.09485886846892,ASCENDING
2025-03-31,-13.635915695019285,-20.71577444463478,-7.079858749615499,DESCENDING
2025-04-04,-11.452623908481879,-21.492312036796896,-10.039688128315019,ASCENDING
2025-04-09,-13.253495823550981,-22.736313895199903,-9.482818071648921,ASCENDING
2025-04-12,-8.73424699589796,-18.175091943728713,-9.440844947830753,DESCENDING
2025-04-16,-8.313964191186928,-17.821808617686145,-9.50784442649922,ASCENDING
2025-04-21,-13.075400682839115,-22.053017115602486,-8.977616432763375,ASCENDING
2025-04-24,-13.52390431834224,-23.56002547786773,-10.03612115952549,DESCENDING
2025-04-28,-12.038173350609911,-24.33184725682662,-12.293673906216702,ASCENDING
